Ht Wt ratio	Home Runs	Ht Wt ratio (bin)	Number of Records	Bat Avg	Handedness	Height	Name	Weight
0.378947368	14	0.37	1	0.264	L	72	Bob Molinaro	190
0.411764706	3	0.41	1	0.243	L	70	Bobby Mitchell	170
0.44375	252	0.44	1	0.277	L	71	Bobby Murcer	160
0.417647059	86	0.41	1	0.265	L	71	Bobby Tolan	170
0.330434783	339	0.33	1	0.266	L	76	Boog Powell	230
0.43125	8	0.43	1	0.256	L	69	Boots Day	160
0.417142857	12	0.41	1	0.254	L	73	Brian Asselstine	175
0.424242424	0	0.42	1	0	L	70	Brian Dubois	165
0.405405405	0	0.4	1	0	L	75	Brian Snyder	185
0.358139535	0	0.35	1	0	L	77	Britt Burns	215
0.4375	1	0.43	1	0.26	L	70	Brock Davis	160
0.388888889	8	0.38	1	0.271	L	70	Broderick Perkins	180
0.384615385	100	0.38	1	0.282	L	75	Bruce Bochte	195
0.4	10	0.4	1	0.263	L	74	Bruce Boisclair	185
0.4	0	0.4	1	0	L	72	Bruce Ellingsen	180
0.384210526	0	0.38	1	0	L	73	Bruce Robbins	190
0.340909091	0	0.34	1	0	L	75	Bruce Tanner	220
0.390625	0	0.39	1	0	L	75	Bryan Oelkers	192
0.405714286	452	0.4	1	0.285	L	71	Carl Yastrzemski	175
0.355	90	0.35	1	0.274	L	71	Carlos May	200
0.448484848	241	0.44	1	0.298	L	74	Cecil Cooper	165
0.436363636	51	0.43	1	0.258	L	72	Cesar Geronimo	165
0.36097561	54	0.36	1	0.255	L	74	Champ Summers	205
0.374358974	185	0.37	1	0.279	L	73	Chris Chambliss	195
0.417647059	20	0.41	1	0.243	L	71	Chuck Hiller	170
0.378947368	164	0.37	1	0.278	L	72	Claudell Washington	190
0.378947368	55	0.37	1	0.233	L	72	Clay Dalrymple	190
0.384615385	32	0.38	1	0.259	L	75	Clint Hurdle	195
0.417142857	42	0.41	1	0.256	L	73	Craig Reynolds	175
0.379487179	112	0.37	1	0.237	L	74	Curt Blefary	195
0.466666667	7	0.46	1	0.245	L	70	Curt Ford	150
0.35	0	0.35	1	0	L	77	Curt Wardle	220
0.405555556	41	0.4	1	0.235	L	73	Dalton Jones	180
0.4	12	0.4	1	0.195	L	72	Dan Briggs	180
0.379679144	153	0.37	1	0.267	L	71	Dan Driessen	187
0.394444444	86	0.39	1	0.253	L	71	Dan Meyer	180
0.365	0	0.36	1	0	L	73	Dan Morogiello	200
0.4	14	0.4	1	0.276	L	72	Dane Iorg	180
0.374358974	13	0.37	1	0.236	L	73	Danny Goodwin	195
0.37	414	0.37	1	0.248	L	74	Darrell Evans	200
0.373056995	188	0.37	1	0.247	L	72	Darrell Porter	193
0.4	15	0.4	1	0.265	L	74	Daryl Sconiers	185
0.401098901	16	0.4	1	0.246	L	73	Dave Marshall	182
0.376344086	96	0.37	1	0.251	L	70	Dave May	186
0.43030303	30	0.43	1	0.257	L	71	Dave Rader	165
0.44	0	0.44	1	0	L	77	Dave Rajsich	175
0.361904762	62	0.36	1	0.265	L	76	Dave Revering	210
0.384615385	7	0.38	1	0.194	L	75	Dave Roberts	195
0.394594595	0	0.39	1	0	L	73	Dave Stapleton	185
0.405555556	87	0.4	1	0.258	L	73	Del Unser	180
0.389473684	0	0.38	1	0	L	74	Dennis DeBarr	190
0.394285714	16	0.39	1	0.25	L	69	Denny Doyle	175
0.403409091	197	0.4	1	0.247	L	71	Dick McAuliffe	176
0.37	21	0.37	1	0.224	L	74	Dick Nen	200
0.4	12	0.4	1	0.229	L	72	Dick Phillips	180
0.44375	3	0.44	1	0.205	L	71	Don Mason	160
0.365853659	200	0.36	1	0.249	L	75	Don Mincher	205
0.4	12	0.4	1	0.229	L	72	Doug Clemens	180
0.387755102	20	0.38	1	0.201	L	76	Doug Frobel	196
0.411428571	1	0.41	1	0.271	L	72	Duane Kuiper	175
0.389189189	24	0.38	1	0.229	L	72	Duane Walker	185
0.375634518	100	0.37	1	0.239	L	74	Duke Sims	197
0.394594595	166	0.39	1	0.246	L	73	Dwayne Murphy	185
0.422857143	0	0.42	1	0.22	L	74	Ed Crosby	175
0.416666667	30	0.41	1	0.26	L	75	Ed Goodson	180
0.374358974	80	0.37	1	0.24	L	73	Ed Herrmann	195
0.385416667	0	0.38	1	0	L	74	Ed Hodge	192
0.364102564	85	0.36	1	0.238	L	71	Ed Kirkpatrick	195
0.365853659	118	0.36	1	0.261	L	75	Ed Kranepool	205
0.368421053	33	0.36	1	0.259	L	70	Ed Ott	190
0.394444444	14	0.39	1	0.237	L	71	Ed Stroud	180
0.410404624	42	0.41	1	0.253	L	71	Eddie Milner	173
0.417142857	62	0.41	1	0.22	L	73	Ellie Hendricks	175
0.394285714	67	0.39	1	0.283	L	69	Floyd Robinson	175
0.383783784	6	0.38	1	0.241	L	71	Frank Tepedino	185
0.394594595	306	0.39	1	0.283	L	73	Fred Lynn	185
0.384210526	108	0.38	1	0.253	L	73	Fred Whitfield	190
0.353535354	25	0.35	1	0.266	L	70	Gail Hopkins	198
0.411428571	12	0.41	1	0.247	L	72	Garry Hancock	175
0.385	0	0.38	1	0	L	77	Gary Christenson	200
0.405555556	61	0.4	1	0.249	L	73	Gary Thomasson	180
0.322727273	84	0.32	1	0.257	L	71	Gates Brown	220
0.424242424	9	0.42	1	0.274	L	70	Gene Locklear	165
0.411428571	26	0.41	1	0.29	L	72	Gene Richards	175
0.363636364	27	0.36	1	0.268	L	72	George Vukovich	198
0.405555556	34	0.4	1	0.28	L	73	Glenn Adams	180
0.38974359	0	0.38	1	0	L	76	Gorman Heimueller	195
0.4	390	0.4	1	0.248	L	72	Graig Nettles	180
0.4375	7	0.43	1	0.287	L	70	Greg Gross	160
0.365853659	113	0.36	1	0.26	L	75	Greg Walker	205
0.365	24	0.36	1	0.214	L	73	Hal King	200
0.405555556	18	0.4	1	0.237	L	73	Harry Spilman	180
0.417142857	17	0.41	1	0.259	L	73	Hosken Powell	175
0.405882353	0	0.4	1	0	L	69	Israel Sanchez	170
0.424242424	30	0.42	1	0.245	L	70	Jack Brohamer	165
0.4375	2	0.43	1	0.27	L	70	Jack Perconte	160
0.4	25	0.4	1	0.233	L	72	Jake Gibbs	180
0.38	208	0.38	1	0.261	L	76	Jason Thompson	200
0.417142857	102	0.41	1	0.267	L	73	Jay Johnstone	175
0.366666667	0	0.36	1	0	L	77	Jeff Holly	210
0.370731707	0	0.37	1	0	L	76	Jeff Rineer	205
0.385	0	0.38	1	0	L	77	Jeff Schattinger	200
0.411428571	11	0.41	1	0.277	L	72	Jeff Stone	175
0.4	0	0.4	1	0	L	74	Jeff Twitty	185
0.393442623	0	0.39	1	0	L	72	Jerry Augustine	183
0.384615385	0	0.38	1	0	L	75	Jerry Garvin	195
0.429411765	7	0.42	1	0.237	L	73	Jerry Kenney	170
0.417142857	0	0.41	1	0	L	73	Jerry Kutzler	175
0.365853659	21	0.36	1	0.211	L	75	Jerry Narron	205
0.418181818	7	0.41	1	0.275	L	69	Jerry Remy	165
0.385	1	0.38	1	0.167	L	77	Jerry Reuss	200
0.383333333	45	0.38	1	0.257	L	69	Jerry Turner	180
0.388888889	26	0.38	1	0.251	L	70	Jesse Gonder	180
0.405714286	0	0.4	1	0	L	71	Jim Campbell	175
0.424242424	77	0.42	1	0.26	L	70	Jim Dwyer	165
0.368421053	7	0.36	1	0.235	L	70	Jim Fairey	190
0.377777778	5	0.37	1	0.196	L	68	Jim French	180
0.383783784	30	0.38	1	0.226	L	71	Jim Gosger	185
0.4	19	0.4	1	0.265	L	72	Jim Holt	180
0.4	9	0.4	1	0.248	L	72	Jim Lyttle	180
0.389473684	7	0.38	1	0.201	L	74	Jim Maloney	190
0.4	12	0.4	1	0.203	L	74	Jim Mason	185
0.387096774	16	0.38	1	0.22	L	72	Jim Nettles	186
0.4	7	0.4	1	0.264	L	70	Jim Norris	175
0.394736842	153	0.39	1	0.267	L	75	Jim Northrup	190
0.379487179	146	0.37	1	0.25	L	74	Jim Spencer	195
0.371134021	27	0.37	1	0.227	L	72	Jim Traber	194
0.39	0	0.39	1	0	L	78	Jim Umbarger	200
0.411428571	121	0.41	1	0.254	L	72	Jimmie Hall	175
0.369230769	40	0.36	1	0.239	L	72	Joe Hague	195
0.389189189	9	0.38	1	0.246	L	72	Joe Keough	185
0.368686869	65	0.36	1	0.223	L	73	Joe Lahoud	198
0.411764706	31	0.41	1	0.258	L	70	Joe Lefebvre	170
0.41875	268	0.41	1	0.271	L	67	Joe Morgan	160
0.405714286	27	0.4	1	0.263	L	71	Joe Nolan	175
0.383783784	0	0.38	1	0	L	71	Joe Pactwa	185
0.4	219	0.4	1	0.258	L	74	Joe Pepitone	185
0.428571429	9	0.42	1	0.242	L	75	Joe Simpson	175
0.375609756	0	0.37	1	0	L	77	Joel Davis	205
0.389189189	0	0.38	1	0	L	72	Joel McKeon	185
0.44375	4	0.44	1	0.238	L	71	John Donaldson	160
0.379487179	14	0.37	1	0.201	L	74	John Hale	195
0.394594595	0	0.39	1	0	L	73	John LaRose	185
0.411428571	116	0.41	1	0.253	L	72	John Lowenstein	175
0.348837209	255	0.34	1	0.253	L	75	John Mayberry	215
0.389189189	131	0.38	1	0.249	L	72	John Milner	185
0.366666667	0	0.36	1	0	L	77	John Poloni	210
0.394444444	12	0.39	1	0.216	L	71	John Stephenson	180
0.384210526	139	0.38	1	0.253	L	73	Johnny Briggs	190
0.345454545	81	0.34	1	0.242	L	76	Johnny Edwards	220
0.428571429	99	0.42	1	0.278	L	75	Johnny Grubb	175
0.386243386	22	0.38	1	0.227	L	73	Johnny Lewis	189
0.377659574	14	0.37	1	0.25	L	71	Johnny Oates	188
0.411764706	130	0.41	1	0.278	L	70	Jorge Orta	170
0.423529412	165	0.42	1	0.284	L	72	Jose Cruz	170
0.43030303	2	0.43	1	0.261	L	71	Jose Tartabull	165
0.428571429	0	0.42	1	0	L	75	Juan Nieves	175
0.4	162	0.4	1	0.296	L	72	Keith Hernandez	180
0.423529412	31	0.42	1	0.248	L	72	Ken Boswell	170
0.424242424	91	0.42	1	0.268	L	70	Ken Landreaux	165
0.349282297	123	0.34	1	0.239	L	73	Ken Phelps	209
0.389189189	14	0.38	1	0.264	L	72	Ken Retzer	185
0.379487179	0	0.37	1	0	L	74	Kevin Bearse	195
0.35	0	0.35	1	0	L	77	Kevin Mmahat	220
0.378947368	0	0.37	1	0	L	72	Kevin Stanfield	190
0.36097561	29	0.36	1	0.273	L	74	Larry Biittner	205
0.4	12	0.4	1	0.248	L	74	Larry Harlow	185
0.411111111	0	0.41	1	0	L	74	Larry Rothschild	180
0.411428571	36	0.41	1	0.232	L	72	Larry Stahl	175
0.379487179	106	0.37	1	0.255	L	74	Lee Thomas	195
0.361904762	37	0.36	1	0.253	L	76	Len Gabrielson	210
0.389473684	30	0.38	1	0.234	L	74	Len Matuszek	190
0.405714286	0	0.4	1	0	L	71	Len Whitehouse	175
0.394594595	147	0.39	1	0.277	L	73	Leon Durham	185
0.367346939	31	0.36	1	0.25	L	72	Leron Lee	196
0.417647059	149	0.41	1	0.293	L	71	Lou Brock	170
0.422857143	0	0.42	1	0	L	74	Luis Quintana	175
0.405555556	23	0.4	1	0.311	L	73	Lyman Bostock	180
0.405555556	133	0.4	1	0.252	L	73	Mack Jones	180
0.394594595	26	0.39	1	0.272	L	73	Manny Jimenez	185
0.35	0	0.35	1	0	L	77	Mark Mercer	220
0.4	0	0.4	1	0	L	72	Mark Souza	180
0.405714286	40	0.4	1	0.247	L	71	Marvell Wynne	175
0.43125	31	0.43	1	0.307	L	69	Matty Alou	160
0.417647059	8	0.41	1	0.247	L	71	Merritt Ranew	170
0.424242424	61	0.42	1	0.295	L	70	Mickey Rivers	165
0.358974359	5	0.35	1	0.229	L	70	Mike Brumley	195
0.4	34	0.4	1	0.258	L	72	Mike Cubbage	180
0.422857143	91	0.42	1	0.259	L	74	Mike Davis	175
0.378947368	118	0.37	1	0.293	L	72	Mike Easler	190
0.326086957	130	0.32	1	0.244	L	75	Mike Epstein	230
0.411428571	13	0.41	1	0.227	L	72	Mike Fiore	175
0.369230769	80	0.36	1	0.29	L	72	Mike Hargrove	195
0.388297872	53	0.38	1	0.242	L	73	Mike Hegan	188
0.362790698	0	0.36	1	0	L	78	Mike Jones	215
0.369230769	95	0.36	1	0.243	L	72	Mike Jorgensen	195
0.394594595	0	0.39	1	0	L	73	Mike Kinnunen	185
0.4	90	0.4	1	0.247	L	72	Mike Lum	180
0.379487179	0	0.37	1	0	L	74	Mike Pazik	195
0.423529412	11	0.42	1	0.24	L	72	Mike Phillips	170
0.370731707	0	0.37	1	0	L	76	Mike Rochford	205
0.372093023	0	0.37	1	0	L	80	Mike Smithson	215
0.383783784	6	0.38	1	0.26	L	71	Mike Squires	185
0.36097561	0	0.36	1	0	L	74	Mike Willis	205
0.378947368	77	0.37	1	0.263	L	72	Milt May	190
0.36097561	72	0.36	1	0.266	L	74	Mitchell Page	205
0.4375	0	0.43	1	0	L	70	Narciso Elvira	160
0.378378378	24	0.37	1	0.238	L	70	Norm Miller	185
0.411111111	37	0.41	1	0.252	L	74	Omar Moreno	180
0.44375	200	0.44	1	0.265	L	71	Oscar Gamble	160
0.394594595	76	0.39	1	0.264	L	73	Pat Kelly	185
0.351219512	63	0.35	1	0.255	L	72	Pat Putnam	205
0.411428571	0	0.41	1	0	L	72	Pat Underwood	175
0.37	27	0.37	1	0.257	L	74	Pete LaCock	200
0.394594595	98	0.39	1	0.254	L	73	Pete Ward	185
0.4	8	0.4	1	0.264	L	72	Phil Mankowski	180
0.369230769	0	0.36	1	0	L	72	Ralph Botting	195
0.383783784	75	0.38	1	0.306	L	71	Ralph Garr	185
0.394594595	0	0.39	1	0	L	73	Randy Wiles	185
0.394444444	5	0.39	1	0.191	L	71	Ray Sadecki	180
0.389189189	17	0.38	1	0.244	L	72	Ray Webster	185
0.369230769	563	0.36	1	0.262	L	72	Reggie Jackson	195
0.379487179	0	0.37	1	0	L	74	Reggie Ritter	195
0.417647059	6	0.41	1	0.254	L	71	Rich Chiles	170
0.4	12	0.4	1	0.265	L	68	Rich Coggins	170
0.405405405	52	0.4	1	0.253	L	75	Rich Reese	185
0.374358974	203	0.37	1	0.276	L	73	Richie Hebner	195
0.405263158	0	0.4	1	0	L	77	Rick Jones	190
0.405555556	18	0.4	1	0.268	L	73	Rick Leach	180
0.405555556	56	0.4	1	0.257	L	73	Rick Manning	180
0.411428571	28	0.41	1	0.269	L	72	Rick Miller	175
0.388601036	241	0.38	1	0.264	L	75	Rick Monday	193
0.374358974	9	0.37	1	0.243	L	73	Rick Sofield	195
0.405555556	39	0.4	1	0.248	L	73	Rob Wilfong	180
0.423529412	92	0.42	1	0.328	L	72	Rod Carew	170
0.394736842	82	0.39	1	0.224	L	75	Roger Repoz	190
0.374358974	52	0.37	1	0.293	L	73	Ron Blomberg	195
0.394594595	19	0.39	1	0.24	L	73	Ron Hodges	185
0.4	6	0.4	1	0.241	L	74	Ron Stone	185
0.423529412	32	0.42	1	0.259	L	72	Rowland Office	170
0.384210526	80	0.38	1	0.261	L	73	Roy Howell	190
0.442424242	18	0.44	1	0.271	L	73	Rudy Law	165
0.418181818	2	0.41	1	0.212	L	69	Rudy Meoli	165
0.411764706	147	0.41	1	0.25	L	70	Ruppert Jones	170
0.389473684	292	0.38	1	0.279	L	74	Rusty Staub	190
0.405263158	2	0.4	1	0.154	L	77	Sam McDowell	190
0.4	7	0.4	1	0.23	L	68	Sandy Valdespino	170
0.384615385	5	0.38	1	0.262	L	75	Scot Thompson	195
0.370731707	0	0.37	1	0	L	76	Sherman Corbett	205
0.46	7	0.46	1	0.251	L	69	Sonny Jackson	150
0.369230769	5	0.36	1	0.115	L	72	Steve Barber	195
0.38	0	0.38	1	0	L	76	Steve Barr	200
0.388888889	52	0.38	1	0.271	L	70	Steve Braun	180
0.361904762	13	0.36	1	0.201	L	76	Steve Carlton	210
0.374358974	0	0.37	1	0	L	73	Steve Davis	195
0.372340426	8	0.37	1	0.258	L	70	Steve Hovley	188
0.369230769	130	0.36	1	0.278	L	72	Steve Kemp	195
0.4	24	0.4	1	0.23	L	72	Steve Whitaker	180
0.389473684	36	0.38	1	0.263	L	74	Ted Uhlaender	190
0.4	42	0.4	1	0.25	L	72	Terry Crowley	180
0.384210526	16	0.38	1	0.274	L	73	Terry Francona	190
0.370558376	33	0.37	1	0.281	L	73	Terry Whitfield	197
0.428571429	20	0.42	1	0.272	L	75	Thad Bosley	175
0.405714286	12	0.4	1	0.27	L	71	Tim Corcoran	175
0.405714286	9	0.4	1	0.255	L	71	Tim Flannery	175
0.406593407	14	0.4	1	0.235	L	74	Tim Harkness	182
0.429411765	0	0.42	1	0.223	L	73	Tim Johnson	170
0.38974359	134	0.38	1	0.257	L	76	Tom Haller	195
0.394444444	22	0.39	1	0.248	L	71	Tom Hutton	180
0.421965318	4	0.42	1	0.215	L	73	Tom Matchick	173
0.4	13	0.4	1	0.256	L	72	Tom O'Malley	180
0.4	10	0.4	1	0.268	L	70	Tom Poquette	175
0.394594595	21	0.39	1	0.225	L	73	Tom Satriano	185
0.393442623	75	0.39	1	0.246	L	72	Tommy McCraw	183
0.45625	0	0.45	1	0	L	73	Tony Ferreira	160
0.405882353	103	0.4	1	0.286	L	69	Tony Gonzalez	170
0.411111111	7	0.41	1	0.259	L	74	Tony Muser	180
0.417142857	220	0.41	1	0.304	L	73	Tony Oliva	175
0.342857143	50	0.34	1	0.255	L	72	Tony Solaita	210
0.423529412	6	0.42	1	0.238	L	72	Ty Cline	170
0.375609756	0	0.37	1	0	L	77	Vance Lovelace	205
0.446666667	36	0.44	1	0.279	L	67	Vic Davalillo	150
0.411764706	30	0.41	1	0.273	L	70	Von Joshua	170
0.346491228	41	0.34	1	0.256	L	79	Walt Bond	228
0.405714286	61	0.4	1	0.239	L	71	Wayne Garrett	175
0.352380952	121	0.35	1	0.233	L	74	Wayne Gross	210
0.405555556	15	0.4	1	0.266	L	73	Wayne Krenchicki	180
0.340909091	110	0.34	1	0.271	L	75	Willie Aikens	220
0.370558376	86	0.37	1	0.268	L	73	Willie Crawford	197
0.411111111	182	0.41	1	0.279	L	74	Willie Davis	180
0.423529412	139	0.42	1	0.275	L	72	Willie Montanez	170
0.395604396	46	0.39	1	0.248	L	72	Willie Smith	182
0.393617021	475	0.39	1	0.282	L	74	Willie Stargell	188
0.389189189	123	0.38	1	0.262	L	72	Willie Upshaw	185
0.416666667	0	0.41	1	0	L	75	Zach Crouch	180
0.417142857	59	0.41	1	0.247	R	73	Adolfo Phillips	175
0.370558376	108	0.37	1	0.27	R	73	Al Cowens	197
0.405714286	2	0.4	1	0.127	R	71	Al Downing	175
0.365	51	0.36	1	0.259	R	73	Al Ferrara	200
0.4	11	0.4	1	0.263	R	72	Al Gallagher	180
0.361904762	0	0.36	1	0	R	76	Al Jones	210
0.378787879	0	0.37	1	0	R	75	Al Lachowicz	198
0.417647059	19	0.41	1	0.27	R	71	Alan Bannister	170
0.378947368	12	0.37	1	0.213	R	72	Alan Knicely	190
0.4	0	0.4	1	0	R	76	Alan Wirth	190
0.4	0	0.4	1	0	R	76	Albert Williams	190
0.351219512	78	0.35	1	0.288	R	72	Alex Johnson	205
0.4	0	0.4	1	0	R	74	Alex Sanchez	185
0.424242424	23	0.42	1	0.249	R	70	Alex Trevino	165
0.405405405	0	0.4	1	0	R	75	Alfredo Martinez	185
0.388888889	0	0.38	1	0	R	70	Allan Ramirez	180
0.43030303	193	0.43	1	0.277	R	71	Amos Otis	165
0.451612903	5	0.45	1	0.251	R	70	Andre Robertson	155
0.375	253	0.37	1	0.254	R	75	Andre Thornton	200
0.4	27	0.4	1	0.223	R	72	Andres Mora	180
0.429411765	42	0.42	1	0.234	R	73	Andres Thomas	170
0.365853659	0	0.36	1	0	R	75	Andy Beene	205
0.384210526	49	0.38	1	0.235	R	73	Andy Etchebarren	190
0.365853659	73	0.36	1	0.236	R	75	Andy Kosco	205
0.365	5	0.36	1	0.17	R	73	Andy Messersmith	200
0.375609756	0	0.37	1	0	R	77	Andy Replogle	205
0.393258427	22	0.39	1	0.245	R	70	Angel Mangual	178
